"","word","beta","i"
"youtube","youtube",0.497905720258652,1
"women","women",0.345362353071365,2
"workers","workers",0.267675582448487,3
"black","black",0.206834543330063,4
"ty","ty",0.0228147923938994,5
"tech","tech",0.00279972399174024,6
"planet","planet",-0.0289628005332484,7
"climate","climate",-0.0975249911267257,8
"cloud","cloud",-0.14148039903758,9
"customers","customers",-0.280554972341065,10
"world","world",-0.313382989251852,11
"microsoft","microsoft",-0.356000936483615,12
"hawaii","hawaii",-0.381235436837204,13
"oculus","oculus",-0.381449809511375,14
"trees","trees",-0.392075232924827,15
"lies","lies",-0.415010660942254,16
"vr","vr",-0.622596924104233,17
"slack","slack",-0.643524335607115,18
"apple","apple",-0.780564752059328,19
"salesforce","salesforce",-0.986907092022071,20
